[rank] test_name        pass  total_line
[   1] fanotify16         845  1713
[   2] splice07           615   649
[   3] fanotify01         442   537
[   4] fanotify14         334   637
[   5] epoll_ctl03        256   264
[   6] fanotify13         200   937
[   7] access01           199   207
[   8] memfd_create01     157   175
[   9] waitpid01          126   139
[  10] pkey01             108   247
[  11] getpid01           100   108
[  12] fsmount01           96   241
[  13] chdir01             92   201
[  14] fanotify09          76   118
[  15] pipe11              70    85
[  16] fsync01             60   116
[  17] mount07             56   110
[  18] fanotify15          55   158
[  19] memcontrol02        54   130
[  20] rename01            48   106
[  21] rename03            48   106
[  22] fsetxattr01         46   103
[  23] setxattr01          46   104
[  24] clock_getres01      44    56
[  25] mem                 42   130
[  26] mem                 42   130
[  27] statx08             38   109
[  28] can_filter          36   120
[  29] mkdir09             36   103
[  30] mount_setattr01     36   130
[  31] move_mount01        36   122
[  32] quotactl08          36    94
[  33] splice08            36    63
[  34] confstr01           34    49
[  35] mq_timedsend01      34   145
[  36] utimensat01         34    50
[  37] memcontrol04        33   104
[  38] chmod01             32    42
[  39] creat09             32    93
[  40] posix_fadvise03     32    41
[  41] posix_fadvise03     32    41
[  42] process_vm_readv03    32    89
[  43] getitimer01         30    46
[  44] move_mount02        30   125
[  45] mq_timedreceive01    30    43
[  46] signal03            30    39
[  47] signal05            30    57
[  48] open11              28    72
[  49] signal04            28    37
[  50] name_to_handle_at01    27    37
[  51] fsconfig02          26    35
[  52] fgetxattr01         25    82
[  53] process_vm01        25    48
[  54] setns01             25    64
[  55] clock_gettime03     24    34
[  56] close_range01       24   110
[  57] fspick01            24    83
[  58] io_control01        24    68
[  59] kill11              24    43
[  60] select01            24    40
[  61] select03            24    54
[  62] statx12             24   105
[  63] accept03            23    32
[  64] semop02             23    37
[  65] getaddrinfo_01      22    52
[  66] pidns17             22    34
[  67] readahead01         22    35
[  68] setregid03          22    31
[  69] memcontrol03        21    74
[  70] UNKNOWN             21   101
[  71] fallocate06         20   168
[  72] getxattr02          20    78
[  73] madvise01           20    30
[  74] ppoll01             20    47
[  75] shmctl02            20    33
[  76] swapon02            20   101
[  77] personality01       19    28
[  78] copy_file_range02    18    72
[  79] fanotify06          18    29
[  80] fsmount02           18    67
[  81] fspick02            18   100
[  82] llseek03            18    29
[  83] open_tree02         18    89
[  84] prctl02             18    47
[  85] setitimer01         18    37
[  86] statvfs01           18    75
[  87] pathconf01          17    27
[  88] access02            16    24
[  89] bind04              16    40
[  90] clock_gettime01     16    26
[  91] fanotify19          16    35
[  92] getrlimit01         16    24
[  93] getrlimit03         16    30
[  94] openat201           16    26
[  95] pty04               16    43
[  96] quotactl04          16    57
[  97] semctl07            16    27
[  98] semctl09            16    31
[  99] fremovexattr02      15    75
[ 100] lseek02             15    23
[ 101] lseek11             15    24
[ 102] msgrcv07            15    24
[ 103] preadv03            15    73
[ 104] preadv03            15    72
[ 105] pwritev03           15    73
[ 106] pwritev03           15    72
[ 107] rename13            15    93
[ 108] statx04             15    65
[ 109] swapoff02           15    91
[ 110] utime01             15    68
[ 111] utime02             15    73
[ 112] utime04             15    68
[ 113] utime05             15    73
[ 114] af_alg01            14    22
[ 115] bind05              14    37
[ 116] UNKNOWN             14    60
[ 117] link04              14    22
[ 118] memfd_create02      14    24
[ 119] mmap04              14    23
