// Statistic and classification of LTP testcases (on RISC-V musl)
// newly passed testcases should be updated here, not in the rank files.
// Testcases are composed of "units".
// Classification rules:
// 1. all pass:			pass all units
// 2. skip pass:			at least one passed but some units stay not tested due to unimplement feature \
				or output indecates that it passed but not with "TPASS" format
// 3. part fail: 			at least one failed units(sometimes caused by timeout)
// 4. skip:				skip without pass
// 5. skip consuming time:		skip without pass and cost more than 30 seconds
// 4. all fail:			fail all units
// 5. defect panic: 			panicked with wrong implementation
// 6. unimplement panic: 		panic caused by unimplemented syscall(label the syscall number parentheses) or unimplemented function
// 7. timeout with pass: 		timeout but pass at least unit(Timeout means stuck for more than 1 min. When output say "timeout" we call it "skip")
// 8. timeout no pass:			timeout and no pass units
// 9. skip:				some how totally skipped

name			type		pass	fail+broken
abort01			all pass		2	0
abs01			all pass		2	0
accept01			all pass		5	0
accept02			all fail		0	1
accept03			part fail		20	2
accept4_01			part fail		4	4
access01			part fail		181	18
access02			all pass		16	0
access03			all pass		8	0
access04			part fail		8	4
acct01			unimplement panic	0	0
acct02			skip		0	0
acct02_helper		skip		0	0
acl1			skip		0	0
add_ipv6addr		skip		0	0
add_key01			all pass		8	0
add_key02			all pass		9	0
add_key03			all pass		1	0
add_key04			all pass		1	0
add_key05			skip		0	0
adjtimex01			all pass		2	0
adjtimex02			part fail		1	6
adjtimex03			all fail		0	1
af_alg01			all fail		0	1
af_alg02			all fail		0	1
af_alg03			all fail		0	1
af_alg04			all fail		0	1
af_alg05			all fail		0	1
af_alg06			all fail		0	1
af_alg07			all fail		0	0
aio-stress			skip		0	0
aio01			skip		0	0
aio02			skip		0	0
aiocp			skip		0	0
aiodio_append		skip		0	0
aiodio_sparse		skip		0	0
alarm02			all pass		6	0
alarm03			all pass		2	0
alarm05			all pass		3	0
alarm06			all pass		2	0
alarm07			all pass		2	0
ar01.sh			skip		0	0
arch_prctl01		skip		0	0
arping01.sh			part fail		9	3
asapi_01			skip		0	0
asapi_02			skip		0	0
asapi_03			skip		0	0
ask_password.sh		skip		0	0
aslr01			skip		0	0
assign_password.sh		skip		0	0
atof01			part fail		3	1
autogroup01			skip		0	0
bbr01.sh			skip		0	0
bbr02.sh			skip		0	0
bind01			all pass		7	0
bind02			all fail		0	1
bind03			part fail		2	1
bind04			all fail		0	1
bind05			all fail		0	1
bind06			skip		0	0
bind_noport01.sh		skip		0	0
binfmt_misc01.sh		skip		0	0
binfmt_misc02.sh		skip		0	0
binfmt_misc_lib.sh		skip		0	0
block_dev			skip		0	0
bpf_map01			part fail		1	2
bpf_prog01			part fail		1	1
bpf_prog02			part fail		1	1
bpf_prog03			all fail		0	1
bpf_prog04			all fail		0	2
bpf_prog05			part fail		1	1
bpf_prog06			all fail		0	1
bpf_prog07			all fail		0	1
brk01			all fail		0	1
brk02			skip pass		1	0
broken_ip-checksum.sh		skip		0	0
broken_ip-dstaddr.sh		skip		0	0
broken_ip-fragment.sh		skip		0	0
broken_ip-ihl.sh		skip		0	0
broken_ip-nexthdr.sh		skip		0	0
broken_ip-plen.sh		skip		0	0
broken_ip-protcol.sh		skip		0	0
broken_ip-version.sh		skip		0	0
busy_poll01.sh		skip		0	0
busy_poll02.sh		skip		0	0
busy_poll03.sh		skip		0	0
busy_poll_lib.sh		skip		0	0
cacheflush01		skip		0	0
can_bcm01			skip		0	0
can_filter			skip		0	0
can_rcv_own_msgs		skip		0	0
cap_bounds_r		skip		0	0
cap_bounds_rw		skip		0	0
cap_bset_inh_bounds		skip		0	0
capget01			all pass		6	0
capget02			part fail		4	1
capset01			all pass		3	0
capset02			all fail		0	1
capset03			all pass		1	0
capset04			part fail		0	2
cfs_bandwidth01		skip		0	0
cgroup_core01		all fail		0	1
cgroup_core02		all fail		0	1
cgroup_core03		all fail		0	1
cgroup_fj_common.sh		all fail		0	1
cgroup_fj_function.sh		skip		0	0
cgroup_fj_proc		skip		0	0
cgroup_fj_stress.sh		skip		0	0
cgroup_lib.sh		all fail		0	1
cgroup_regression_3_1.sh	timeout no pass	0	0
cgroup_regression_3_2.sh	timeout no pass	0	0
cgroup_regression_5_1.sh	timeout no pass	0	0
cgroup_regression_5_2.sh	timeout no pass	0	0
cgroup_regression_6_1.sh	timeout no pass	0	0
cgroup_regression_6_2.sh	timeout no pass	0	0
